 format: day,hour,forecast,value  location:59_76 Start : 20230701 
 1,1700,+62,145.000000 
 1,1700,+63,152.000000 
 1,1700,+64,147.000000 
 1,1700,+65,148.000000 
 1,1700,+66,147.000000 
 1,1700,+67,147.000000 
 1,1700,+68,147.000000 
 1,1700,+69,151.000000 
 1,1700,+70,154.000000 
 1,2000,+6,108.000000 
 1,2000,+7,171.000000 
 1,2000,+8,176.000000 
 1,2000,+9,172.000000 
 1,2000,+10,207.000000 
 1,2000,+11,186.000000 
 1,2000,+12,160.000000 
 1,2000,+13,183.000000 
 1,2000,+14,188.000000 
 1,2000,+15,170.000000 
 1,2000,+16,162.000000 
 1,2000,+17,145.000000 
 1,2000,+18,127.000000 
 1,2000,+19,107.000000 
 1,2000,+20,124.000000 
 1,2000,+21,117.000000 
 1,2000,+22,107.000000 
 1,2000,+23,108.000000 
 1,2000,+24,124.000000 
 1,2000,+25,124.000000 
 1,2000,+26,126.000000 
 1,2000,+27,133.000000 
 1,2000,+28,148.000000 
 1,2000,+29,158.000000 
 1,2000,+30,166.000000 
 1,2000,+31,170.000000 
 1,2000,+32,169.000000 
 1,2000,+33,161.000000 
 1,2000,+34,163.000000 
 1,2000,+35,164.000000 
 1,2000,+36,158.000000 
 1,2000,+37,149.000000 
 1,2000,+38,146.000000 
 1,2000,+39,150.000000 
 1,2000,+40,145.000000 
 1,2000,+41,137.000000 
 1,2000,+42,133.000000 
 1,2000,+43,127.000000 
 1,2000,+44,130.000000 
 1,2000,+45,145.000000 
 1,2000,+46,133.000000 
 1,2000,+47,131.000000 
 1,2000,+48,131.000000 
 1,2000,+49,139.000000 
 1,2000,+50,139.000000 
 1,2000,+51,141.000000 
 1,2000,+52,142.000000 
 1,2000,+53,152.000000 
 1,2000,+54,155.000000 
 1,2000,+55,146.000000 
 1,2000,+56,159.000000 
 1,2000,+57,155.000000 
 1,2000,+58,152.000000 
 1,2000,+59,150.000000 
 1,2000,+60,155.000000 
 1,2000,+61,148.000000 
 1,2000,+62,147.000000 
 1,2000,+63,146.000000 
 1,2000,+64,147.000000 
 1,2000,+65,153.000000 
 1,2000,+66,154.000000 
 1,2000,+67,160.000000 
 1,2300,+6,172.000000 
 1,2300,+7,207.000000 
 1,2300,+8,186.000000 
 1,2300,+9,160.000000 
 1,2300,+10,183.000000 
 1,2300,+11,188.000000 
 1,2300,+12,170.000000 
 1,2300,+13,162.000000 
 1,2300,+14,145.000000 
 1,2300,+15,127.000000 
 1,2300,+16,107.000000 
 1,2300,+17,124.000000 
 1,2300,+18,117.000000 
 1,2300,+19,107.000000 
 1,2300,+20,108.000000 
 1,2300,+21,124.000000 
 1,2300,+22,124.000000 
 1,2300,+23,126.000000 
 1,2300,+24,133.000000 
 1,2300,+25,148.000000 
 1,2300,+26,158.000000 
 1,2300,+27,166.000000 
 1,2300,+28,170.000000 
 1,2300,+29,169.000000 
 1,2300,+30,161.000000 
 1,2300,+31,163.000000 
 1,2300,+32,164.000000 
 1,2300,+33,158.000000 
 1,2300,+34,149.000000 
 1,2300,+35,146.000000 
 1,2300,+36,150.000000 
 1,2300,+37,145.000000 
 1,2300,+38,137.000000 
 1,2300,+39,133.000000 
 1,2300,+40,127.000000 
 1,2300,+41,130.000000 
 1,2300,+42,145.000000 
 1,2300,+43,133.000000 
 1,2300,+44,131.000000 
 1,2300,+45,131.000000 
 1,2300,+46,139.000000 
 1,2300,+47,139.000000 
 1,2300,+48,141.000000 
 1,2300,+49,142.000000 
 1,2300,+50,152.000000 
 1,2300,+51,155.000000 
 1,2300,+52,146.000000 
 1,2300,+53,159.000000 
 1,2300,+54,155.000000 
 1,2300,+55,152.000000 
 1,2300,+56,150.000000 
 1,2300,+57,155.000000 
 1,2300,+58,148.000000 
 1,2300,+59,147.000000 
 1,2300,+60,146.000000 
 1,2300,+61,147.000000 
 1,2300,+62,153.000000 
 1,2300,+63,154.000000 
 1,2300,+64,160.000000 
 Start : 20230702 
 27,0200,+6,164.000000 
 27,0200,+7,163.000000 
 27,0200,+8,150.000000 
 27,0200,+9,150.000000 
 27,0200,+10,146.000000 
 27,0200,+11,143.000000 
 27,0200,+12,141.000000 
 27,0200,+13,132.000000 
 27,0200,+14,127.000000 
 27,0200,+15,124.000000 
 27,0200,+16,124.000000 
 27,0200,+17,118.000000 
 27,0200,+18,122.000000 
 27,0200,+19,115.000000 
 27,0200,+20,125.000000 
 27,0200,+21,137.000000 
 27,0200,+22,143.000000 
 27,0200,+23,144.000000 
 27,0200,+24,146.000000 
 27,0200,+25,148.000000 
 27,0200,+26,155.000000 
 27,0200,+27,158.000000 
 27,0200,+28,159.000000 
 27,0200,+29,159.000000 
 27,0200,+30,158.000000 
 27,0200,+31,150.000000 
 27,0200,+32,156.000000 
 27,0200,+33,153.000000 
 27,0200,+34,156.000000 
 27,0200,+35,153.000000 
 27,0200,+36,128.000000 
 27,0200,+37,117.000000 
 27,0200,+38,108.000000 
 27,0200,+39,121.000000 
 27,0200,+40,121.000000 
 27,0200,+41,110.000000 
 27,0200,+42,103.000000 
 27,0200,+43,99.000000 
 27,0200,+44,107.000000 
 27,0200,+45,122.000000 
 27,0200,+46,130.000000 
 27,0200,+47,133.000000 
 27,0200,+48,139.000000 
 27,0200,+49,139.000000 
 27,0200,+50,141.000000 
 27,0200,+51,143.000000 
 27,0200,+52,144.000000 
 27,0200,+53,141.000000 
 27,0200,+54,139.000000 
 27,0200,+55,152.000000 
 27,0200,+56,169.000000 
 27,0200,+57,180.000000 
 27,0200,+58,193.000000 
 27,0200,+59,180.000000 
 27,0200,+60,157.000000 
 27,0200,+61,153.000000 
 27,0500,+6,150.000000 
 27,0500,+7,146.000000 
 27,0500,+8,143.000000 
 27,0500,+9,141.000000 
 27,0500,+10,132.000000 
 27,0500,+11,127.000000 
 27,0500,+12,124.000000 
 27,0500,+13,124.000000 
 27,0500,+14,118.000000 
 27,0500,+15,122.000000 
 27,0500,+16,115.000000 
 27,0500,+17,125.000000 
 27,0500,+18,137.000000 
 27,0500,+19,143.000000 
 27,0500,+20,144.000000 
 27,0500,+21,146.000000 
 27,0500,+22,148.000000 
 27,0500,+23,155.000000 
 27,0500,+24,158.000000 
 27,0500,+25,159.000000 
 27,0500,+26,159.000000 
 27,0500,+27,158.000000 
 27,0500,+28,150.000000 
 27,0500,+29,156.000000 
 27,0500,+30,153.000000 
 27,0500,+31,156.000000 
 27,0500,+32,153.000000 
 27,0500,+33,128.000000 
 27,0500,+34,117.000000 
 27,0500,+35,108.000000 
 27,0500,+36,121.000000 
 27,0500,+37,121.000000 
 27,0500,+38,110.000000 
 27,0500,+39,103.000000 
 27,0500,+40,99.000000 
 27,0500,+41,107.000000 
 27,0500,+42,122.000000 
 27,0500,+43,130.000000 
 27,0500,+44,133.000000 
 27,0500,+45,139.000000 
 27,0500,+46,139.000000 
 27,0500,+47,141.000000 
 27,0500,+48,143.000000 
 27,0500,+49,144.000000 
 27,0500,+50,141.000000 
 27,0500,+51,139.000000 
 27,0500,+52,152.000000 
 27,0500,+53,169.000000 
 27,0500,+54,180.000000 
 27,0500,+55,193.000000 
 27,0500,+56,180.000000 
 27,0500,+57,157.000000 
 27,0500,+58,153.000000 
 27,0800,+6,122.000000 
 27,0800,+7,122.000000 
 27,0800,+8,129.000000 
 27,0800,+9,135.000000 
 27,0800,+10,138.000000 
 27,0800,+11,130.000000 
 27,0800,+12,123.000000 
 27,0800,+13,121.000000 
 27,0800,+14,129.000000 
 27,0800,+15,138.000000 
 27,0800,+16,140.000000 
 27,0800,+17,145.000000 
 27,0800,+18,150.000000 
 27,0800,+19,152.000000 
 27,0800,+20,156.000000 
 27,0800,+21,156.000000 
 27,0800,+22,153.000000 
 27,0800,+23,157.000000 
 27,0800,+24,154.000000 
 27,0800,+25,158.000000 
 27,0800,+26,149.000000 
 27,0800,+27,139.000000 
 27,0800,+28,142.000000 
 27,0800,+29,146.000000 
 27,0800,+30,131.000000 
 27,0800,+31,117.000000 
 27,0800,+32,107.000000 
 27,0800,+33,105.000000 
 27,0800,+34,114.000000 
 27,0800,+35,121.000000 
 27,0800,+36,124.000000 
 27,0800,+37,113.000000 
 27,0800,+38,107.000000 
 27,0800,+39,114.000000 
 27,0800,+40,120.000000 
 27,0800,+41,127.000000 
 27,0800,+42,128.000000 
 27,0800,+43,126.000000 
 27,0800,+44,126.000000 
 27,0800,+45,130.000000 
 27,0800,+46,137.000000 
 27,0800,+47,141.000000 
 27,0800,+48,148.000000 
 27,0800,+49,162.000000 
 27,0800,+50,171.000000 
 27,0800,+51,167.000000 
 27,0800,+52,153.000000 
 27,0800,+53,167.000000 
 27,0800,+54,165.000000 
 27,0800,+55,148.000000 
 27,0800,+56,126.000000 
 27,0800,+57,108.000000 
 27,0800,+58,101.000000 
 27,0800,+59,99.000000 
 27,0800,+60,104.000000 
 27,0800,+61,110.000000 
 27,0800,+62,118.000000 
 27,0800,+63,129.000000 
 27,0800,+64,131.000000 
 27,0800,+65,129.000000 
 27,0800,+66,129.000000 
 27,0800,+67,135.000000 
 27,0800,+68,144.000000 
 27,0800,+69,149.000000 
 27,0800,+70,151.000000 
 27,0800,+71,151.000000 
 27,0800,+72,149.000000 
 27,0800,+73,152.000000 
 27,0800,+74,162.000000 
 27,0800,+75,157.000000 
 27,0800,+76,141.000000 
 27,0800,+77,135.000000 
 27,0800,+78,124.000000 
 27,0800,+79,120.000000 
 27,1100,+6,135.000000 
 27,1100,+7,138.000000 
 27,1100,+8,130.000000 
 27,1100,+9,123.000000 
 27,1100,+10,121.000000 
 27,1100,+11,129.000000 
 27,1100,+12,138.000000 
 27,1100,+13,140.000000 
 27,1100,+14,145.000000 
 27,1100,+15,150.000000 
 27,1100,+16,152.000000 
 27,1100,+17,156.000000 
 27,1100,+18,156.000000 
 27,1100,+19,153.000000 
 27,1100,+20,157.000000 
 27,1100,+21,154.000000 
 27,1100,+22,158.000000 
 27,1100,+23,149.000000 
 27,1100,+24,139.000000 
 27,1100,+25,142.000000 
 27,1100,+26,146.000000 
 27,1100,+27,131.000000 
 27,1100,+28,117.000000 
 27,1100,+29,107.000000 
 27,1100,+30,105.000000 
 27,1100,+31,114.000000 
 27,1100,+32,121.000000 
 27,1100,+33,124.000000 
 27,1100,+34,113.000000 
 27,1100,+35,107.000000 
 27,1100,+36,114.000000 
 27,1100,+37,120.000000 
 27,1100,+38,127.000000 
 27,1100,+39,128.000000 
 27,1100,+40,126.000000 
 27,1100,+41,126.000000 
 27,1100,+42,130.000000 
 27,1100,+43,137.000000 
 27,1100,+44,141.000000 
 27,1100,+45,148.000000 
 27,1100,+46,162.000000 
