 format: day,hour,forecast,value  location:59_76 Start : 20230701 
 2,0200,+15,30.000000 
 2,0200,+16,30.000000 
 2,0200,+17,30.000000 
 2,0200,+18,30.000000 
 2,0200,+19,30.000000 
 2,0200,+20,30.000000 
 2,0200,+21,30.000000 
 2,0200,+22,20.000000 
 2,0200,+23,30.000000 
 2,0200,+24,30.000000 
 2,0200,+25,20.000000 
 2,0200,+26,20.000000 
 2,0200,+27,20.000000 
 2,0200,+28,60.000000 
 2,0200,+29,60.000000 
 2,0200,+30,60.000000 
 2,0200,+31,60.000000 
 2,0200,+32,30.000000 
 2,0200,+33,20.000000 
 2,0200,+34,30.000000 
 2,0200,+35,30.000000 
 2,0200,+36,20.000000 
 2,0200,+37,20.000000 
 2,0200,+38,30.000000 
 2,0200,+39,30.000000 
 2,0200,+40,30.000000 
 2,0200,+41,30.000000 
 2,0200,+42,30.000000 
 2,0200,+43,60.000000 
 2,0200,+44,30.000000 
 2,0200,+45,30.000000 
 2,0200,+46,60.000000 
 2,0200,+47,60.000000 
 2,0200,+48,60.000000 
 2,0200,+49,60.000000 
 2,0200,+50,60.000000 
 2,0200,+51,60.000000 
 2,0200,+52,60.000000 
 2,0200,+53,30.000000 
 2,0200,+54,30.000000 
 2,0200,+55,30.000000 
 2,0200,+56,60.000000 
 2,0200,+57,60.000000 
 2,0200,+58,60.000000 
 2,0200,+59,61.000000 
 2,0200,+60,30.000000 
 2,0200,+61,60.000000 
 2,0500,+6,30.000000 
 2,0500,+7,20.000000 
 2,0500,+8,20.000000 
 2,0500,+9,20.000000 
 2,0500,+10,30.000000 
 2,0500,+11,30.000000 
 2,0500,+12,30.000000 
 2,0500,+13,30.000000 
 2,0500,+14,30.000000 
 2,0500,+15,30.000000 
 2,0500,+16,30.000000 
 2,0500,+17,30.000000 
 2,0500,+18,30.000000 
 2,0500,+19,20.000000 
 2,0500,+20,30.000000 
 2,0500,+21,30.000000 
 2,0500,+22,20.000000 
 2,0500,+23,20.000000 
 2,0500,+24,20.000000 
 2,0500,+25,60.000000 
 2,0500,+26,60.000000 
 2,0500,+27,60.000000 
 2,0500,+28,60.000000 
 2,0500,+29,30.000000 
 2,0500,+30,20.000000 
 2,0500,+31,30.000000 
 2,0500,+32,30.000000 
 2,0500,+33,20.000000 
 2,0500,+34,20.000000 
 2,0500,+35,30.000000 
 2,0500,+36,30.000000 
 2,0500,+37,30.000000 
 2,0500,+38,30.000000 
 2,0500,+39,30.000000 
 2,0500,+40,60.000000 
 2,0500,+41,30.000000 
 2,0500,+42,30.000000 
 2,0500,+43,60.000000 
 2,0500,+44,60.000000 
 2,0500,+45,60.000000 
 2,0500,+46,60.000000 
 2,0500,+47,60.000000 
 2,0500,+48,60.000000 
 2,0500,+49,60.000000 
 2,0500,+50,30.000000 
 2,0500,+51,30.000000 
 2,0500,+52,30.000000 
 2,0500,+53,60.000000 
 2,0500,+54,60.000000 
 2,0500,+55,60.000000 
 2,0500,+56,61.000000 
 2,0500,+57,30.000000 
 2,0500,+58,60.000000 
 2,0800,+6,0.000000 
 2,0800,+7,0.000000 
 2,0800,+8,20.000000 
 2,0800,+9,20.000000 
 2,0800,+10,30.000000 
 2,0800,+11,60.000000 
 2,0800,+12,60.000000 
 2,0800,+13,60.000000 
 2,0800,+14,60.000000 
 2,0800,+15,60.000000 
 2,0800,+16,60.000000 
 2,0800,+17,60.000000 
 2,0800,+18,30.000000 
 2,0800,+19,30.000000 
 2,0800,+20,30.000000 
 2,0800,+21,30.000000 
 2,0800,+22,30.000000 
 2,0800,+23,30.000000 
 2,0800,+24,30.000000 
 2,0800,+25,30.000000 
 2,0800,+26,30.000000 
 2,0800,+27,30.000000 
 2,0800,+28,30.000000 
 2,0800,+29,30.000000 
 2,0800,+30,30.000000 
 2,0800,+31,30.000000 
 2,0800,+32,30.000000 
 2,0800,+33,30.000000 
 2,0800,+34,30.000000 
 2,0800,+35,30.000000 
 2,0800,+36,30.000000 
 2,0800,+37,60.000000 
 2,0800,+38,60.000000 
 2,0800,+39,60.000000 
 2,0800,+40,60.000000 
 2,0800,+41,60.000000 
 2,0800,+42,60.000000 
 2,0800,+43,60.000000 
 2,0800,+44,30.000000 
 2,0800,+45,30.000000 
 2,0800,+46,60.000000 
 2,0800,+47,60.000000 
 2,0800,+48,60.000000 
 2,0800,+49,60.000000 
 2,0800,+50,30.000000 
 2,0800,+51,30.000000 
 2,0800,+52,30.000000 
 2,0800,+53,30.000000 
 2,0800,+54,30.000000 
 2,0800,+55,60.000000 
 2,0800,+56,79.000000 
 2,0800,+57,74.000000 
 2,0800,+58,90.000000 
 2,0800,+59,93.000000 
 2,0800,+60,67.000000 
 2,0800,+61,60.000000 
 2,0800,+62,30.000000 
 2,0800,+63,30.000000 
 2,0800,+64,30.000000 
 2,0800,+65,20.000000 
 2,0800,+66,20.000000 
 2,0800,+67,0.000000 
 2,0800,+68,0.000000 
 2,0800,+69,0.000000 
 2,0800,+70,0.000000 
 2,0800,+71,0.000000 
 2,0800,+72,0.000000 
 2,0800,+73,0.000000 
 2,0800,+74,0.000000 
 2,0800,+75,0.000000 
 2,0800,+76,0.000000 
 2,0800,+77,0.000000 
